player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Nicolás Otamendi,37,Argentina,Benfica,2020,2025,158,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/54781-1669835534.jpg?lm=1
Gustaf Lagerbielke,25,Sweden,Braga,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/485395-1692356028.jpg?lm=1
André Gomes,21,Portugal,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/670710-1679905817.jpg?lm=1
Samu Aghehowa,21,Spain,Porto,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/991268-1732829288.jpg?lm=1
Brandon Aguilera,22,Costa Rica,Rio Ave,2024,2025,35,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/631996-1737125377.jpg?lm=1
Cédric Nuozzi,19,Belgium,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/859923-1714046764.png?lm=1
Yarlen,19,Brazil,Tondela,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/1241278-1739971346.jpg?lm=1
Davy Gui,19,Cote d'Ivoire,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Ianis Stoica,22,Romania,Estrela Amadora,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/547754-1753432042.png?lm=1
Andreas Ntoi,22,Greece,Rio Ave,2024,2025,26,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/724035-1728417395.png?lm=1
Gabri Martínez,22,Spain,Braga,2024,2025,40,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/906948-1712569048.jpg?lm=1
Gabri Veiga,23,Spain,Porto,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/699704-1664178820.jpg?lm=1
Pau Víctor,23,Spain,Braga,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/707572-1724052852.jpg?lm=1
Matheus Dias,23,Brazil,Nacional,2024,2025,36,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/815384-1664420751.jpg?lm=1
Kiko,23,Portugal,Moreirense,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/934031-1704295000.jpg?lm=1
Naves,23,Brazil,Alverca,2025,2025,10,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/964591-1670983137.jpg?lm=1
Cezary Miszta,24,Poland,Rio Ave,2023,2025,37,Liga Portugal,https://img.a.transfermarkt.technology/portrait/medium/487167-1737115990.jpg?lm=1
