player_name,age,nationality,team_name,start_year,end_year,appearances,league_name,image_url
Arnau Puigmal,24,Spain,UD Almería,2024,2025,51,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/536030-1732735394.jpg?lm=1
Arnau Puigmal,20,Spain,UD Almería,2021,2021,33,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/536030-1732735394.jpg?lm=1
Sergio Arribas,24,Spain,UD Almería,2024,2025,53,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/537762-1732735550.jpg?lm=1
Iván Morante,24,Spain,Burgos CF,2024,2025,46,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/548109-1725880556.jpg?lm=1
Nico Melamed,24,Spain,UD Almería,2024,2025,50,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/570421-1732735606.jpg?lm=1
Juanmi Latasa,24,Spain,Real Valladolid,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/623521-1696862713.jpg?lm=1
Iker Recio,24,Spain,Cádiz CF,2024,2025,15,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Manu Lama,24,Spain,Granada CF,2024,2025,28,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/628464-1700239966.png?lm=1
Diego Murillo,24,Spain,Málaga CF,2024,2025,22,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/635930-1725883727.jpg?lm=1
Diego Murillo,21,Spain,Málaga CF,2022,2022,1,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/635930-1725883727.jpg?lm=1
Pablo Sáenz,24,Spain,Granada CF,2024,2025,49,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/821820-1745339646.jpeg?lm=1
Luis Chacón,25,Spain,CyD Leonesa,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/473402-1732224580.jpg?lm=1
Juan Gutiérrez,25,Spain,CD Mirandés,2024,2025,49,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/531121-1677265811.png?lm=1
Duk,25,Cape Verde,CD Leganés,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/535959-1681745685.jpg?lm=1
Guille Rosas,25,Spain,Sporting Gijón,2020,2025,156,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/557146-1760543143.jpg?lm=1
Marvin Park,25,Spain,UD Las Palmas,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/603940-1718888602.jpg?lm=1
Marvin Park,21,Spain,UD Las Palmas,2022,2022,24,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/603940-1718888602.jpg?lm=1
Fer Niño,25,Spain,Burgos CF,2023,2025,90,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/627294-1712140796.jpg?lm=1
Jonathan Dubasin,25,Spain,Sporting Gijón,2024,2025,49,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/628621-1760543752.jpg?lm=1
Álex Calatrava,25,Spain,Castellón,2024,2025,44,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/633111-1726738145.jpg?lm=1
Javi Moreno,25,Spain,Albacete,2024,2025,16,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/636360-1745339510.jpeg?lm=1
Miguel de la Fuente,26,Spain,CD Leganés,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/480883-1647530867.jpg?lm=1
Miguel de la Fuente,23,Spain,CD Leganés,2023,2023,35,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/480883-1647530867.jpg?lm=1
Miguel de la Fuente,20,Spain,CD Leganés,2020,2020,24,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/480883-1647530867.jpg?lm=1
Miguel Atienza,26,Spain,Burgos CF,2022,2025,128,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/480955-1675800555.jpg?lm=1
Ale Meléndez,26,Spain,Albacete,2024,2025,30,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/531413-1745338132.jpg?lm=1
Thomas Carrique,26,France,FC Andorra,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/540676-1732794041.png?lm=1
Kuki Zalazar,27,Spain,AD Ceuta,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/311696-1447238730.jpg?lm=1
Iñigo Vicente,27,Spain,Racing,2022,2025,132,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/335216-1711381338.jpg?lm=1
Kévin Appin,27,Martinique,Burgos CF,2023,2025,50,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/342223-1712140697.jpg?lm=1
Dani Gómez,27,Spain,Real Zaragoza,2024,2025,26,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/422460-1603806732.jpg?lm=1
Dani Escriche,27,Spain,Albacete,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/531829-1662972614.png?lm=1
Sebas Moyano,28,Spain,Real Zaragoza,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/292617-1697754276.jpg?lm=1
Raúl Guti,28,Spain,Real Zaragoza,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/330352-1597764028.jpg?lm=1
Raúl Guti,22,Spain,Real Zaragoza,2016,2019,84,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/330352-1597764028.jpg?lm=1
Jacobo González,28,Spain,Córdoba CF,2024,2025,46,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/340870-1702510242.png?lm=1
Liberto Beltrán,28,Spain,SD Huesca,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/355763-1757674643.png?lm=1
Bicho,29,Spain,CyD Leonesa,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/217145-1732224907.jpg?lm=1
Cristian Carracedo,29,Spain,Córdoba CF,2024,2025,52,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Florian Miguel,29,France,Burgos CF,2024,2025,51,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/347594-1713279453.png?lm=1
Juanpe,29,Spain,Málaga CF,2024,2025,27,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/455066-1643299266.png?lm=1
Adrián Fuentes,29,Spain,Córdoba CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/597083-1649324319.jpeg?lm=1
Salva Ruiz,30,Spain,Castellón,2024,2025,32,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/162063-1447231330.jpg?lm=1
Ander Cantero,30,Spain,Burgos CF,2024,2025,54,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/199325-1725880163.jpg?lm=1
Iván Alejo,30,Spain,Real Valladolid,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/281755-1739193627.jpg?lm=1
Sergio Ruiz,30,Spain,Granada CF,2024,2025,48,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/394694-1646522962.jpg?lm=1
Sergio Ruiz,27,Spain,Granada CF,2022,2022,19,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/394694-1646522962.jpg?lm=1
Suso,31,Spain,Cádiz CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/111961-1455551677.jpg?lm=1
Jérémy Mellot,31,France,Castellón,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/525113-1623084205.jpg?lm=1
Grego Sierra,32,Spain,Burgos CF,2021,2025,113,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/253905-1732192849.png?lm=1
Óscar Sielva,34,Spain,SD Huesca,2022,2025,106,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/67550-1757573264.png?lm=1
Sergi Guardiola,34,Spain,Córdoba CF,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/256429-1521447903.jpg?lm=1
Sergi Guardiola,26,Spain,Córdoba CF,2017,2017,40,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/256429-1521447903.jpg?lm=1
José Corpas,34,Spain,SD Eibar,2021,2025,165,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/379534-1603961875.jpg?lm=1
Carlos Hernández,35,Spain,AD Ceuta,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Andrés Fernández,38,Spain,UD Almería,2025,2025,12,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/57522-1662569651.png?lm=1
Marc Bombardó,19,Spain,FC Andorra,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Bojan Kovacevic,21,Serbia,Cádiz CF,2024,2025,38,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/845563-1674056748.JPG?lm=1
Luca Zidane,27,Algeria,Granada CF,2024,2025,27,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/283489-1762351424.jpg?lm=1
Thiago Helguera,19,Uruguay,CD Mirandés,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Pau Sans,20,Spain,Real Zaragoza,2022,2025,52,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1061123-1732368698.jpg?lm=1
Roger Hinojo,20,Spain,CyD Leonesa,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1204959-1761231615.jpg?lm=1
Chupe,21,Spain,Málaga CF,2024,2025,30,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Matia Barzic,21,Croatia,CyD Leonesa,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1060456-1761232760.jpg?lm=1
Aitor Fraga,22,Spain,Real Sociedad B,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/668313-1732571489.jpeg?lm=1
Daniel Luna,22,Colombia,SD Huesca,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/857830-1758268273.png?lm=1
Justin Smith,22,Canada,Sporting Gijón,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/904712-1760544046.jpg?lm=1
Marvel,22,Spain,CD Leganés,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/935229-1672753886.jpg?lm=1
Dani Lorenzo,22,Spain,Málaga CF,2024,2025,23,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/960562-1725885634.jpg?lm=1
Dani Lorenzo,19,Spain,Málaga CF,2021,2022,13,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/960562-1725885634.jpg?lm=1
Pau Casadesús,22,Spain,Granada CF,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1
Selu Diallo,22,Guinea,CyD Leonesa,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1054931-1731932772.jpg?lm=1
Álex Lizancos,22,Spain,Burgos CF,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/1137322-1731669093.png?lm=1
Théo Zidane,23,France,Córdoba CF,2024,2025,47,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/337917-1701294515.jpg?lm=1
Alberto Dadie,23,Spain,Real Sociedad B,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/711377-1727113333.jpg?lm=1
Jon Balda,23,Spain,Real Sociedad B,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/711380-1732795226.png?lm=1
Peru Rodríguez,23,Spain,Real Sociedad B,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/711381-1732795038.png?lm=1
Peru Rodríguez,19,Spain,Real Sociedad B,2021,2021,3,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/711381-1732795038.png?lm=1
Mikel Rodriguez,23,Spain,Real Sociedad B,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/721660-1732795452.PNG?lm=1
Federico Bonini,24,Italy,UD Almería,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/530552-1696843680.jpg?lm=1
Diego Collado,24,Spain,CyD Leonesa,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/566965-1761231938.jpg?lm=1
Julien Ponceau,24,France,Real Valladolid,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/569390-1614604717.JPG?lm=1
Carlos Dotor,24,Spain,Málaga CF,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/623524-1739477790.jpg?lm=1
Javi Martínez,25,Spain,SD Eibar,2024,2025,27,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/471474-1694423354.png?lm=1
Iuri Tabatadze,25,Georgia,Cádiz CF,2025,2025,11,LaLiga2,https://img.a.transfermarkt.technology/portrait/medium/539965-1685096182.png?lm=1
