player_name,age,nationality,team_name,start_year,end_year,appearances,league_name
Vincent Marchetti,28.0,France,Paris FC,2025,2025,7,Ligue 1
Thilo Kehrer,29.0,Germany,Monaco,2023,2025,49,Ligue 1
Florent Hanin,35.0,France,Angers SCO,2024,2025,40,Ligue 1
Benjamin Stambouli,35.0,France,FC Metz,2025,2025,7,Ligue 1
Sékou Mara,23.0,France,R. Strasbourg,2024,2025,32,Ligue 1
Amine Gouiri,25.0,Algeria,Marseille,2025,2025,6,Ligue 1
Khalis Merah,18.0,France,Lyon,2025,2025,6,Ligue 1
Mohammed Salisu,26.0,Ghana,Monaco,2023,2025,33,Ligue 1
Rafael Luís,20.0,Portugal,R. Strasbourg,2025,2025,6,Ligue 1
Désiré Doué,20.0,France,PSG,2024,2025,37,Ligue 1
Christian Mawissa,20.0,France,Monaco,2024,2025,28,Ligue 1
Ousmane Dembélé,28.0,France,PSG,2023,2025,61,Ligue 1
Aleksandr Golovin,29.0,Russia,Monaco,2018,2025,187,Ligue 1
Amady Camara,20.0,Mali,FC Nantes,2025,2025,6,Ligue 1
Morgan Bokele,21.0,Cameroon,FC Metz,2025,2025,6,Ligue 1
Johann Lepenant,23.0,France,FC Nantes,2024,2025,35,Ligue 1
Étienne Youté Kinkoué,23.0,France,Le Havre AC,2023,2025,56,Ligue 1
Bamo Meïté,23.0,Cote d'Ivoire,FC Lorient,2025,2025,6,Ligue 1
Bamo Meïté,21.0,Cote d'Ivoire,FC Lorient,2022,2023,35,Ligue 1
Tiago Gouveia,24.0,Portugal,Nice,2025,2025,6,Ligue 1
Martín Satriano,24.0,Uruguay,Lyon,2025,2025,6,Ligue 1
Kevin Carlos,24.0,Spain,Nice,2025,2025,6,Ligue 1
Abner,25.0,Brazil,Lyon,2024,2025,25,Ligue 1
Lilian Brassier,26.0,France,Stade Rennais,2025,2025,6,Ligue 1
Lilian Brassier,20.0,France,Stade Rennais,2020,2020,11,Ligue 1
Hyun-seok Hong,26.0,"Korea, South",FC Nantes,2025,2025,6,Ligue 1
Noah Cadiou,27.0,Guadeloupe,FC Lorient,2025,2025,6,Ligue 1
Ben Chilwell,28.0,England,R. Strasbourg,2025,2025,6,Ligue 1
Lucas Hernández,29.0,France,PSG,2023,2025,49,Ligue 1
Fabián Ruiz,29.0,Spain,PSG,2022,2025,84,Ligue 1
Igor Silva,29.0,Brazil,FC Lorient,2025,2025,6,Ligue 1
Igor Silva,26.0,Brazil,FC Lorient,2021,2023,40,Ligue 1
Alimami Gory,29.0,France,Paris FC,2025,2025,6,Ligue 1
Eric Dier,31.0,England,Monaco,2025,2025,6,Ligue 1
Nouha Dicko,33.0,Mali,Paris FC,2025,2025,6,Ligue 1
Florian Sotoca,35.0,France,Lens,2020,2025,175,Ligue 1
Chancel Mbemba,31.0,DR Congo,Lille,2025,2025,5,Ligue 1
Quentin Ndjantou,18.0,France,PSG,2025,2025,5,Ligue 1
Arthur Vermeeren,20.0,Belgium,Marseille,2025,2025,5,Ligue 1
Mahamadou Nagida,20.0,Cameroon,Stade Rennais,2023,2025,21,Ligue 1
Aladji Bamba,19.0,France,Monaco,2025,2025,5,Ligue 1
Stanis Idumbo,20.0,Belgium,Monaco,2025,2025,5,Ligue 1
Mathys De Carvalho,20.0,Portugal,Lyon,2025,2025,5,Ligue 1
João Neves,21.0,Portugal,PSG,2024,2025,34,Ligue 1
Lamine Camara,21.0,Senegal,Monaco,2024,2025,34,Ligue 1
Ethan Mbappé,18.0,France,Lille,2024,2025,15,Ligue 1
Mathis Amougou,19.0,France,R. Strasbourg,2025,2025,5,Ligue 1
Abdelhamid Ait Boudlal,19.0,Morocco,Stade Rennais,2025,2025,5,Ligue 1
Bahmed Deuff,19.0,France,FC Nantes,2025,2025,5,Ligue 1
Sadibou Sané,21.0,Senegal,FC Metz,2025,2025,5,Ligue 1
Sadibou Sané,19.0,Senegal,FC Metz,2023,2023,14,Ligue 1
CJ Egan-Riley,22.0,England,Marseille,2025,2025,5,Ligue 1
Rémy Labeau Lascary,22.0,France,Stade Brestois,2025,2025,5,Ligue 1
Daouda Guindo,23.0,Mali,Stade Brestois,2025,2025,5,Ligue 1
Abdallah Sima,24.0,Senegal,Lens,2025,2025,5,Ligue 1
Godson Kyeremeh,25.0,France,Le Havre AC,2025,2025,5,Ligue 1
Jonathan Ikoné,27.0,France,Paris FC,2025,2025,5,Ligue 1
Assane Dioussé,28.0,Senegal,AJ Auxerre,2024,2025,22,Ligue 1
Rachid Ghezzal,33.0,Algeria,Lyon,2025,2025,5,Ligue 1
Rachid Ghezzal,24.0,Algeria,Lyon,2014,2016,73,Ligue 1
Rachid Ghezzal,20.0,Algeria,Lyon,2012,2012,14,Ligue 1
Maxime Colin,33.0,France,FC Metz,2025,2025,5,Ligue 1
Maxime Colin,31.0,France,FC Metz,2023,2023,22,Ligue 1
Thomas Delaine,33.0,France,Le Havre AC,2025,2025,5,Ligue 1
Hamari Traoré,33.0,Mali,Paris FC,2025,2025,5,Ligue 1
